id,Name,Ranking,Points,Short_code
1,Argentina,1,1858,ARG
2,France,2,1840.59,FRA
3,Belgium,3,1795.23,BEL
4,England,4,1794.9,ENG
5,Brazil,5,1788.65,BRA
6,Portugal,6,1748.11,POR
7,Netherlands,7,1742.29,NED
8,Spain,8,1727.5,ESP
9,Italy,9,1724.6,ITA
10,Croatia,10,1721.07,CRO
11,USA,11,1681.13,USA
12,Colombia,12,1664.28,COL
13,Morocco,13,1661.42,MAR
14,Mexico,14,1661.11,MEX
15,Uruguay,15,1659.39,URU
16,Germany,16,1644.21,GER
17,Senegal,17,1624.73,SEN
18,Japan,18,1621.88,JPN
19,Switzerland,19,1616.41,SUI
20,IR Iran,20,1613.96,IRN
21,Denmark,21,1602.72,DEN
22,Ukraine,22,1568.86,UKR
23,Korea Republic,23,1563.99,KOR
24,Australia,24,1563.93,AUS
25,Austria,25,1554.86,AUT
26,Hungary,26,1532.2,HUN
27,Sweden,27,1531.68,SWE
28,Poland,28,1531.49,POL
29,Wales,29,1531.38,WAL
30,Nigeria,30,1520.27,NGA
31,Ecuador,31,1518.22,ECU
32,Peru,32,1515.82,PER
33,Serbia,33,1514.2,SRB
34,Qatar,34,1507.94,QAT
35,Russia,35,1504.02,RUS
36,Czechia,36,1501.47,CZE
37,Egypt,37,1499.72,EGY
38,Côte d'Ivoire,38,1498.8,CIV
39,Scotland,39,1497.46,SCO
40,Türkiye,40,1495.94,TUR
41,Tunisia,41,1493.12,TUN
42,Chile,42,1491.71,CHI
43,Algeria,43,1482.71,ALG
44,Mali,44,1477.9,MLI
45,Panama,45,1475.62,PAN
46,Romania,46,1468.17,ROU
47,Norway,47,1467.51,NOR
48,Slovakia,48,1461.55,SVK
49,Canada,49,1461.16,CAN
50,Greece,50,1457.89,GRE
51,Cameroon,51,1452.59,CMR
52,Costa Rica,52,1445.38,CRC
53,Saudi Arabia,53,1443.53,KSA
54,Venezuela,54,1442.29,VEN
55,Jamaica,55,1435.33,JAM
56,Paraguay,56,1430.73,PAR
57,Slovenia,57,1427.84,SVN
58,Iraq,58,1420.47,IRQ
59,South Africa,59,1407.67,RSA
60,Republic of Ireland,60,1399.74,IRL
61,Finland,61,1394.44,FIN
62,Burkina Faso,62,1390.38,BFA
63,Congo DR,63,1388.25,CGO
64,Uzbekistan,64,1386.58,UZB
65,Cabo Verde,65,1383.44,CPV
66,Albania,66,1375.1,ALB
67,United Arab Emirates,67,1366.45,UAE
68,Ghana,68,1358.77,GHA
69,North Macedonia,69,1354.19,MKD
70,Montenegro,70,1351.72,MNE
71,Jordan,71,1350.21,JOR
72,Iceland,72,1346.82,ISL
73,Northern Ireland,73,1341.05,NIR
74,Bosnia and Herzegovina,74,1335.6,BIH
75,Georgia,75,1333.76,GEO
76,Guinea,76,1324.65,GUI
77,Oman,77,1323.23,OMA
78,Israel,78,1311.39,ISR
79,Equatorial Guinea,79,1308.03,EQG
80,Bahrain,80,1307.53,BHR
81,El Salvador,81,1305.02,SLV
82,Honduras,82,1301.92,HON
83,Bulgaria,83,1292.59,BUL
84,Gabon,84,1287.33,GAB
