id,date,stage,home_away,location,country_id,group_id,match_number_id
1,"2024-06-14 19:00:00",Group,Home,"Fußball Arena München",16,1,1
2,"2024-06-14 19:00:00",Group,Away,"Fußball Arena München",39,1,1
3,"2024-06-15 13:00:00",Group,Home,"Stadion Köln",26,1,2
4,"2024-06-15 13:00:00",Group,Away,"Stadion Köln",19,1,2
5,"2024-06-15 16:00:00",Group,Home,"Olympiastadion",8,2,3
6,"2024-06-15 16:00:00",Group,Away,"Olympiastadion",10,2,3
7,"2024-06-15 19:00:00",Group,Home,"BVB Stadion Dortmund",9,2,4
8,"2024-06-15 19:00:00",Group,Away,"BVB Stadion Dortmund",66,2,4
9,"2024-06-16 13:00:00",Group,Home,"Volksparkstadion",28,4,5
10,"2024-06-16 13:00:00",Group,Away,"Volksparkstadion",7,4,5
11,"2024-06-16 16:00:00",Group,Home,"Arena Stuttgart",57,3,6
12,"2024-06-16 16:00:00",Group,Away,"Arena Stuttgart",21,3,6
13,"2024-06-16 19:00:00",Group,Home,"Arena AufSchalke",33,3,7
14,"2024-06-16 19:00:00",Group,Away,"Arena AufSchalke",4,3,7
15,"2024-06-17 13:00:00",Group,Home,"Fußball Arena München",46,5,8
16,"2024-06-17 13:00:00",Group,Away,"Fußball Arena München",22,5,8
17,"2024-06-17 16:00:00",Group,Home,"Frankfurt Stadion",3,5,9
18,"2024-06-17 16:00:00",Group,Away,"Frankfurt Stadion",48,5,9
19,"2024-06-17 19:00:00",Group,Home,"Düsseldorf Arena",25,4,10
20,"2024-06-17 19:00:00",Group,Away,"Düsseldorf Arena",2,4,10
21,"2024-06-18 16:00:00",Group,Home,"BVB Stadion Dortmund",40,6,11
22,"2024-06-18 16:00:00",Group,Away,"BVB Stadion Dortmund",75,6,11
23,"2024-06-18 19:00:00",Group,Home,"RB Arena",6,6,12
24,"2024-06-18 19:00:00",Group,Away,"RB Arena",36,6,12
25,"2024-06-19 13:00:00",Group,Home,"Volksparkstadion",10,2,13
26,"2024-06-19 13:00:00",Group,Away,"Volksparkstadion",66,2,13
27,"2024-06-19 16:00:00",Group,Home,"Arena Stuttgart",16,1,14
